2026-03-25 15:25:48 | INFO     | root | Logging initialised → /Users/jeffreywhitfield/Downloads/sports_arb/src/../logs/arb_20260325.log
2026-03-25 15:25:49 | INFO     | src.odds_fetcher | Found 77 active US sports
2026-03-25 15:25:49 | INFO     | src.odds_fetcher | [americanfootball_ncaaf] API usage — used: 2, remaining: 498
2026-03-25 15:25:49 | INFO     | src.odds_fetcher | Fetched 9 events for americanfootball_ncaaf
2026-03-25 15:25:49 | WARNING  | src.odds_fetcher | HTTP error fetching americanfootball_ncaaf_championship_winner: 422 Client Error: Unprocessable Entity for url: https://api.the-odds-api.com/v4/sports/americanfootball_ncaaf_championship_winner/odds?apiKey=c76100b1b7dc911f1d96a79e241b2d97&regions=us&markets=h2h%2Cspreads&oddsFormat=american&dateFormat=iso
2026-03-25 15:25:49 | WARNING  | src.odds_fetcher | HTTP error fetching americanfootball_nfl_super_bowl_winner: 422 Client Error: Unprocessable Entity for url: https://api.the-odds-api.com/v4/sports/americanfootball_nfl_super_bowl_winner/odds?apiKey=c76100b1b7dc911f1d96a79e241b2d97&regions=us&markets=h2h%2Cspreads&oddsFormat=american&dateFormat=iso
2026-03-25 15:25:49 | INFO     | src.odds_fetcher | [americanfootball_ufl] API usage — used: 4, remaining: 496
2026-03-25 15:25:49 | INFO     | src.odds_fetcher | Fetched 4 events for americanfootball_ufl
2026-03-25 15:25:49 | INFO     | src.odds_fetcher | [aussierules_afl] API usage — used: 6, remaining: 494
2026-03-25 15:25:49 | INFO     | src.odds_fetcher | Fetched 7 events for aussierules_afl
2026-03-25 15:25:49 | INFO     | src.odds_fetcher | [baseball_mlb] API usage — used: 8, remaining: 492
2026-03-25 15:25:49 | INFO     | src.odds_fetcher | Fetched 15 events for baseball_mlb
2026-03-25 15:25:49 | WARNING  | src.odds_fetcher | HTTP error fetching baseball_mlb_world_series_winner: 422 Client Error: Unprocessable Entity for url: https://api.the-odds-api.com/v4/sports/baseball_mlb_world_series_winner/odds?apiKey=c76100b1b7dc911f1d96a79e241b2d97&regions=us&markets=h2h%2Cspreads&oddsFormat=american&dateFormat=iso
2026-03-25 15:25:49 | INFO     | src.odds_fetcher | [baseball_ncaa] API usage — used: 10, remaining: 490
2026-03-25 15:25:49 | INFO     | src.odds_fetcher | Fetched 10 events for baseball_ncaa
2026-03-25 15:25:49 | INFO     | src.odds_fetcher | [basketball_euroleague] API usage — used: 12, remaining: 488
2026-03-25 15:25:49 | INFO     | src.odds_fetcher | Fetched 10 events for basketball_euroleague
2026-03-25 15:25:49 | WARNING  | src.odds_fetcher | HTTP error fetching basketball_nba: 429 Client Error: Too Many Requests for url: https://api.the-odds-api.com/v4/sports/basketball_nba/odds?apiKey=c76100b1b7dc911f1d96a79e241b2d97&regions=us&markets=h2h%2Cspreads&oddsFormat=american&dateFormat=iso
